gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3803449302	cd5b59bd-6e4b-4c08-aa12-5a65d7a95a8a	396E87990565FFAEDE23573EF5D5F308.mc.01AF3CD20565FFAED36757DBF786FB63	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus (Thomas 1894)	(Thomas 1894)				PRESENT	1	7ce8aef0-9e92-11dc-8738-b8a03c50a862													2437635	2437635	MATERIAL_CITATION							CC0_1_0					2022-10-08T09:54:53.758Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3774774777	355ffa2e-36ce-44aa-9772-2f433169100c	http://id.zfmk.de/collection_ZFMK/224355721/1430017/748737	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus (Thomas, 1894)			Zaire, Kivu, Musimba		PRESENT		6e1cad80-bdf5-11d8-84ea-b8a03c50a862									1965-06-27T00:00:00	27	6	1965	2437635	2437635	PRESERVED_SPECIMEN	ZFMK	MAM	MAM1968-1317-s				CC_BY_4_0					2022-09-08T13:12:33.151Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3774753429	355ffa2e-36ce-44aa-9772-2f433169100c	http://id.zfmk.de/collection_ZFMK/224355734/1430030/748758	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus (Thomas, 1894)					PRESENT		6e1cad80-bdf5-11d8-84ea-b8a03c50a862									1966-12-20T00:00:00	20	12	1966	2437635	2437635	PRESERVED_SPECIMEN	ZFMK	MAM	MAM1969-0147-s				CC_BY_4_0		Eisentraut, M.			2022-09-08T13:12:29.128Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3774752814	355ffa2e-36ce-44aa-9772-2f433169100c	http://id.zfmk.de/collection_ZFMK/224355720/1430016/748735	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus (Thomas, 1894)			Zaire, Kivu, Tshibati		PRESENT		6e1cad80-bdf5-11d8-84ea-b8a03c50a862									1965-06-21T00:00:00	21	6	1965	2437635	2437635	PRESERVED_SPECIMEN	ZFMK	MAM	MAM1968-1316-s				CC_BY_4_0					2022-09-08T13:12:29.021Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3774751818	355ffa2e-36ce-44aa-9772-2f433169100c	http://id.zfmk.de/collection_ZFMK/224355722/1430018/748740	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus (Thomas, 1894)					PRESENT		6e1cad80-bdf5-11d8-84ea-b8a03c50a862									1967-04-27T00:00:00	27	4	1967	2437635	2437635	PRESERVED_SPECIMEN	ZFMK	MAM	MAM1968-1318-sk				CC_BY_4_0					2022-09-08T13:12:28.774Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3774749962	355ffa2e-36ce-44aa-9772-2f433169100c	http://id.zfmk.de/collection_ZFMK/224355719/1430015/748734	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus (Thomas, 1894)			Zaire, Kivu, Kalengo		PRESENT		6e1cad80-bdf5-11d8-84ea-b8a03c50a862									1965-03-04T00:00:00	4	3	1965	2437635	2437635	PRESERVED_SPECIMEN	ZFMK	MAM	MAM1968-1315-sk				CC_BY_4_0					2022-09-08T13:12:28.329Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3774746438	355ffa2e-36ce-44aa-9772-2f433169100c	http://id.zfmk.de/collection_ZFMK/224355727/1430023/748749	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus (Thomas, 1894)			Zaire, Kivu, Kahuzi		PRESENT		6e1cad80-bdf5-11d8-84ea-b8a03c50a862									1968-04-21T00:00:00	21	4	1968	2437635	2437635	PRESERVED_SPECIMEN	ZFMK	MAM	MAM1968-1319-s				CC_BY_4_0					2022-09-08T13:12:27.428Z		INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3028078500	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/33e6226a4-70a3-4fb3-b544-80025092cc75	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus		RW	Uinka Banda, Syangugu		PRESENT		bc092ff0-02e4-11dc-991f-b8a03c50a862									1962-06-12T00:00:00	12	6	1962	2437635	2437635	MATERIAL_SAMPLE	USNM	MAMM					CC0_1_0		R. Elbel			2022-10-01T11:14:07.420Z		
3028025931	26098c25-8f7f-4c71-97ac-1d3db181c65e	http://n2t.net/ark:/65665/3bc073bd5-5167-4212-8ec7-7e226d506cb1	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus		RW	Uinka Banda, Syangugu		PRESENT		bc092ff0-02e4-11dc-991f-b8a03c50a862									1962-06-07T00:00:00	7	6	1962	2437635	2437635	MATERIAL_SAMPLE	USNM	MAMM					CC0_1_0		R. Elbel			2022-10-01T11:14:03.540Z		
3026160127	8138eb72-f762-11e1-a439-00145eb45e9a	https://darwin.naturalsciences.be/uri/object/ffeccdec-09ec-4d0d-9565-26bd3d8cd279	Animalia	Chordata	Mammalia	Rodentia	Thryonomyidae	Thryonomys	Thryonomys gregorianus		SPECIES	Thryonomys gregorianus (Thomas, 1894)	Thryonomys gregorianus (Thomas, 1894)	(Thomas, 1894)				PRESENT		e88c96a3-5884-4e51-a580-e417ca4c9eed									1954-07-04T00:00:00	4	7	1954	2437635	2437635	PRESERVED_SPECIMEN	RBINS-Scientific Heritage	urn:catalog:RBINS:mam	21452				CC_BY_NC_4_0	Royal Belgian Institute of Natural Sciences				2022-09-09T00:20:36.426Z		TYPE_STATUS_INVALID;INSTITUTION_MATCH_NONE
